ULTIMA_COMPRA;REFERENCIA;RECENCIA_DIAS;IMPORTE_VENTA;FRECUENCIA
2010-06-28 13:53:00;2010-12-31;185;259.3600000000001;28
2010-12-07 14:57:00;2010-12-31;23;2035.1099999999997;102
2010-12-16 19:09:00;2010-12-31;14;1114.96;37
2010-10-28 08:23:00;2010-12-31;63;2671.1400000000012;102
2010-11-29 15:23:00;2010-12-31;31;300.93;21
2010-11-29 10:07:00;2010-12-31;31;343.79999999999995;18
2010-10-27 12:44:00;2010-12-31;64;317.75999999999993;20
2010-05-21 11:59:00;2010-12-31;223;488.2099999999999;22
2010-11-24 12:24:00;2010-12-31;36;3562.249999999998;84
2010-11-16 14:29:00;2010-12-31;44;12079.98999999999;165
2010-11-29 10:56:00;2010-12-31;31;1289.1799999999998;41
2010-10-10 11:16:00;2010-12-31;81;1724.4700000000005;83
2010-11-25 11:04:00;2010-12-31;35;1590.83;88
2010-09-03 15:19:00;2010-12-31;118;321.35;19
2010-03-16 10:28:00;2010-12-31;289;500.24;3
2010-03-21 15:56:00;2010-12-31;284;917.6999999999999;18
2010-10-22 13:13:00;2010-12-31;69;1791.15;93
2010-12-17 09:38:00;2010-12-31;13;2642.6399999999994;126
2010-10-26 13:37:00;2010-12-31;65;2179.4199999999996;104
2010-03-25 13:49:00;2010-12-31;280;763.0500000000002;37
2010-10-14 13:31:00;2010-12-31;77;2246.2900000000004;50
2010-11-15 12:15:00;2010-12-31;45;503.15;13
2010-12-20 09:37:00;2010-12-31;10;2799.72;118
2010-05-26 14:07:00;2010-12-31;218;1407.7000000000003;82
2010-10-13 14:46:00;2010-12-31;78;767.9799999999999;41
2010-08-31 14:54:00;2010-12-31;121;6951.489999999998;173
2010-12-22 14:28:00;2010-12-31;8;600.72;37
2010-11-25 15:14:00;2010-12-31;35;1938.3999999999999;65
2010-12-08 09:53:00;2010-12-31;22;517.8;16
2010-10-20 16:27:00;2010-12-31;71;143.94;9
2010-09-20 12:41:00;2010-12-31;101;1120.45;46
2010-11-02 11:52:00;2010-12-31;58;1433.33;49
2010-09-01 12:38:00;2010-12-31;120;2312.5299999999993;181
2010-04-27 14:04:00;2010-12-31;247;234.75000000000003;7
2010-11-22 16:10:00;2010-12-31;38;816.8500000000003;43
2010-12-17 16:00:00;2010-12-31;13;2728.5600000000004;129
2010-02-03 13:22:00;2010-12-31;330;931.4300000000006;65
2010-11-19 08:53:00;2010-12-31;41;853.6500000000001;51
2010-10-21 13:45:00;2010-12-31;70;205.25;11
2010-11-12 09:50:00;2010-12-31;48;1031.3;59
2010-07-06 11:39:00;2010-12-31;177;591.6600000000001;4
2010-01-26 16:25:00;2010-12-31;338;63.24;1
2010-11-05 11:42:00;2010-12-31;55;2975.06;61
2010-11-19 13:21:00;2010-12-31;41;1452.22;54
2010-10-15 10:24:00;2010-12-31;76;12346.619999999997;155
2010-07-25 13:26:00;2010-12-31;158;320.38;14
2010-10-26 09:25:00;2010-12-31;65;346.9;22
2010-11-02 17:02:00;2010-12-31;58;1370.0499999999997;66
2010-11-02 13:26:00;2010-12-31;58;241.34999999999997;13
2010-09-02 13:47:00;2010-12-31;119;390.0;10
2010-11-29 15:07:00;2010-12-31;31;19543.83999999999;212
2010-02-21 10:19:00;2010-12-31;312;202.56;11
2010-12-17 11:51:00;2010-12-31;13;3141.5499999999997;171
2010-10-22 10:29:00;2010-12-31;69;1352.6200000000001;68
2010-11-19 10:04:00;2010-12-31;41;503.01;25
2010-10-20 14:28:00;2010-12-31;71;291.56;20
2010-11-10 13:19:00;2010-12-31;50;4353.239999999998;128
2010-12-21 10:54:00;2010-12-31;9;1001.0100000000002;56
2010-10-13 10:29:00;2010-12-31;78;1579.0700000000002;62
2010-09-17 14:10:00;2010-12-31;104;964.2100000000002;55
2010-02-15 08:41:00;2010-12-31;318;762.4800000000002;47
2010-12-03 10:44:00;2010-12-31;27;607.0;20
2010-12-09 12:05:00;2010-12-31;21;5017.009999999999;96
2010-12-17 14:10:00;2010-12-31;13;5144.470000000001;194
2010-12-08 16:49:00;2010-12-31;22;10992.510000000006;433
2010-11-23 13:38:00;2010-12-31;37;297.29;20
2010-11-08 10:07:00;2010-12-31;52;5088.040000000004;75
2010-11-09 14:46:00;2010-12-31;51;7153.710000000004;337
2010-01-26 12:11:00;2010-12-31;338;76.52000000000001;4
2010-09-03 13:11:00;2010-12-31;118;290.69000000000005;11
2010-12-08 10:45:00;2010-12-31;22;347.09999999999997;22
2010-10-15 12:28:00;2010-12-31;76;301.58;20
2010-10-25 12:21:00;2010-12-31;66;768.6;10
2010-11-05 16:27:00;2010-12-31;55;490.32;29
2010-09-02 15:38:00;2010-12-31;119;3634.3599999999997;157
2010-11-09 10:09:00;2010-12-31;51;13151.44;25
2010-09-20 14:39:00;2010-12-31;101;1776.66;48
2010-09-30 17:59:00;2010-12-31;91;632.68;22
2010-10-08 11:36:00;2010-12-31;83;830.09;46
2010-04-13 14:53:00;2010-12-31;261;454.3599999999999;23
2010-09-09 13:51:00;2010-12-31;112;326.65;18
2010-01-26 16:26:00;2010-12-31;338;56.73;1
2010-10-12 15:41:00;2010-12-31;79;132.79999999999998;9
2010-07-01 10:28:00;2010-12-31;182;2941.200000000001;112
2010-07-05 12:40:00;2010-12-31;178;3070.539999999998;76
2010-01-19 11:01:00;2010-12-31;345;211.95000000000002;23
2010-12-17 11:53:00;2010-12-31;13;20732.880000000005;634
2010-12-05 14:19:00;2010-12-31;25;11653.350000000017;577
2010-11-26 12:19:00;2010-12-31;34;5048.660000000002;286
2010-10-26 08:49:00;2010-12-31;65;426.26000000000005;25
2010-12-13 14:39:00;2010-12-31;17;7311.439999999997;285
2010-11-05 09:35:00;2010-12-31;55;7056.63;264
2010-11-05 15:08:00;2010-12-31;55;2183.2200000000007;88
2010-12-20 15:15:00;2010-12-31;10;7556.41;196
2010-05-12 16:51:00;2010-12-31;232;23691.399999999983;204
2010-11-26 12:35:00;2010-12-31;34;2635.6;64
2010-08-13 13:45:00;2010-12-31;139;1828.4300000000003;129
2010-06-28 15:22:00;2010-12-31;185;708.0999999999999;34
2010-10-04 12:14:00;2010-12-31;87;1037.2800000000002;49
2010-11-26 14:16:00;2010-12-31;34;3801.7700000000027;196
2010-11-01 14:58:00;2010-12-31;59;452.0000000000001;22
2010-12-16 11:24:00;2010-12-31;14;689.32;38
2010-03-09 10:53:00;2010-12-31;296;357.4;17
2010-03-29 14:06:00;2010-12-31;276;54.09;13
2010-11-04 12:31:00;2010-12-31;56;5205.399999999999;43
2010-05-28 15:12:00;2010-12-31;216;393.71999999999997;27
2010-09-30 18:45:00;2010-12-31;91;1697.39;85
2010-05-04 13:59:00;2010-12-31;240;1126.0;2
2010-10-18 15:09:00;2010-12-31;73;297.00000000000006;11
2010-10-27 09:18:00;2010-12-31;64;955.2;42
2010-05-04 09:23:00;2010-12-31;240;539.2499999999999;28
2010-09-06 14:27:00;2010-12-31;115;3759.5699999999983;95
2010-10-07 10:39:00;2010-12-31;84;3084.0200000000004;190
2010-03-08 12:18:00;2010-12-31;297;580.08;33
2010-12-21 15:43:00;2010-12-31;9;383.7;16
2010-10-05 09:43:00;2010-12-31;86;1336.5599999999997;48
2010-08-20 08:21:00;2010-12-31;132;385.70000000000005;22
2010-11-30 12:31:00;2010-12-31;30;2507.820000000002;140
2010-11-16 09:08:00;2010-12-31;44;6640.389999999999;96
2010-07-29 16:08:00;2010-12-31;154;973.7299999999998;60
2010-08-02 12:23:00;2010-12-31;150;386.7999999999999;14
2010-06-29 13:10:00;2010-12-31;184;316.47999999999996;21
2010-10-20 15:15:00;2010-12-31;71;2096.9800000000005;92
2010-01-22 14:17:00;2010-12-31;342;1807.9799999999996;110
2010-03-22 10:56:00;2010-12-31;283;437.9700000000001;28
2010-10-27 08:36:00;2010-12-31;64;732.9399999999998;43
2010-11-26 13:02:00;2010-12-31;34;276.5;13
2010-09-15 09:50:00;2010-12-31;106;497.3399999999999;24
2010-12-13 09:39:00;2010-12-31;17;9322.66;306
2010-08-12 19:12:00;2010-12-31;140;481.8799999999999;39
2010-09-17 15:51:00;2010-12-31;104;980.2500000000002;43
2010-07-27 13:55:00;2010-12-31;156;175.78;13
2010-05-13 12:05:00;2010-12-31;231;1575.6799999999998;49
2010-12-17 11:23:00;2010-12-31;13;168.0;10
2010-11-19 12:18:00;2010-12-31;41;916.4700000000001;47
2010-09-17 12:29:00;2010-12-31;104;468.49999999999994;26
2010-01-26 16:26:00;2010-12-31;338;129.23;1
2010-12-03 12:20:00;2010-12-31;27;5392.539999999999;27
2010-11-19 09:35:00;2010-12-31;41;1185.1799999999998;39
2010-10-27 09:52:00;2010-12-31;64;249.24;13
2010-12-07 10:36:00;2010-12-31;23;6250.960000000003;276
2010-03-05 09:15:00;2010-12-31;300;70.0;5
2010-01-26 17:28:00;2010-12-31;338;77.52;1
2010-11-23 13:01:00;2010-12-31;37;556.8700000000002;91
2010-09-08 13:09:00;2010-12-31;113;622.8199999999999;38
2010-11-12 12:44:00;2010-12-31;48;826.8900000000004;54
2010-12-15 16:21:00;2010-12-31;15;981.2899999999998;209
2010-11-19 17:21:00;2010-12-31;41;1847.940000000001;58
2010-05-12 11:45:00;2010-12-31;232;637.2;34
2010-10-13 10:52:00;2010-12-31;78;1469.0400000000004;81
2010-12-01 08:45:00;2010-12-31;29;7204.480000000004;216
2010-12-23 12:58:00;2010-12-31;7;1262.85;65
2010-11-30 10:47:00;2010-12-31;30;1443.3799999999999;64
2010-11-05 12:53:00;2010-12-31;55;743.88;36
2010-10-14 11:54:00;2010-12-31;77;4048.9799999999996;145
2010-11-14 14:32:00;2010-12-31;46;899.3;43
2010-07-08 14:26:00;2010-12-31;175;2145.06;63
2010-11-26 12:17:00;2010-12-31;34;1751.8900000000006;81
2010-07-23 09:10:00;2010-12-31;160;299.02000000000004;19
2010-09-02 14:22:00;2010-12-31;119;1511.0099999999998;74
2010-11-23 15:49:00;2010-12-31;37;1264.14;71
2010-12-17 09:24:00;2010-12-31;13;2285.79;66
2010-10-31 10:57:00;2010-12-31;60;104.2;6
2010-11-28 14:18:00;2010-12-31;32;1232.9499999999996;76
2010-01-26 16:23:00;2010-12-31;338;21.0;1
2010-10-31 10:49:00;2010-12-31;60;415.78999999999996;16
2010-11-30 14:48:00;2010-12-31;30;1978.41;98
2010-11-16 17:17:00;2010-12-31;44;2139.8799999999997;111
2010-10-22 09:45:00;2010-12-31;69;3449.7900000000013;165
2010-11-16 11:38:00;2010-12-31;44;417.79999999999995;22
2010-05-28 12:52:00;2010-12-31;216;140.14000000000001;10
2010-12-17 12:38:00;2010-12-31;13;12469.79;335
2010-10-19 09:35:00;2010-12-31;72;3442.7399999999993;156
2010-07-18 15:56:00;2010-12-31;165;2481.060000000001;97
2010-11-19 09:18:00;2010-12-31;41;1558.2199999999998;45
2010-09-09 14:50:00;2010-12-31;112;2841.069999999999;152
2010-07-07 09:39:00;2010-12-31;176;804.8799999999999;35
2010-11-22 13:09:00;2010-12-31;38;3514.1799999999994;205
2010-06-22 10:05:00;2010-12-31;191;490.0;20
2010-11-12 15:46:00;2010-12-31;48;1241.23;78
2010-11-26 13:50:00;2010-12-31;34;2318.410000000002;245
2010-03-10 10:30:00;2010-12-31;295;249.79999999999995;9
2010-10-01 12:17:00;2010-12-31;90;826.2699999999999;42
2010-11-19 12:42:00;2010-12-31;41;5005.78;28
2010-10-05 10:23:00;2010-12-31;86;1440.5800000000006;80
2010-10-26 18:44:00;2010-12-31;65;1764.1200000000006;87
2010-12-17 12:21:00;2010-12-31;13;15395.130000000003;481
2010-09-28 10:35:00;2010-12-31;93;793.95;44
2010-11-22 12:57:00;2010-12-31;38;1671.14;87
2010-11-26 11:58:00;2010-12-31;34;263.74999999999994;21
2010-10-01 15:16:00;2010-12-31;90;97.05000000000001;3
2010-07-01 09:56:00;2010-12-31;182;1950.98;43
2010-10-12 09:17:00;2010-12-31;79;261.35;16
2010-10-10 10:43:00;2010-12-31;81;2356.6600000000003;121
2010-09-29 16:46:00;2010-12-31;92;162.00000000000003;11
2010-12-01 13:04:00;2010-12-31;29;3399.7200000000007;191
2010-03-25 09:40:00;2010-12-31;280;239.4;10
2010-07-13 13:28:00;2010-12-31;170;639.08;4
2010-10-18 11:34:00;2010-12-31;73;250.6;14
2010-11-10 16:40:00;2010-12-31;50;1248.42;31
2010-12-19 12:46:00;2010-12-31;11;8107.399999999998;402
2010-11-19 10:05:00;2010-12-31;41;764.2400000000001;23
2010-04-12 16:30:00;2010-12-31;262;2622.481000000001;45
2010-04-23 09:57:00;2010-12-31;251;211.15000000000003;12
2010-11-03 10:46:00;2010-12-31;57;619.5000000000001;32
2010-06-04 09:49:00;2010-12-31;209;958.5000000000002;113
2010-10-27 09:36:00;2010-12-31;64;1511.6999999999998;62
2010-06-02 14:30:00;2010-12-31;211;395.1;21
2010-12-21 14:26:00;2010-12-31;9;16874.000000000007;216
2010-12-20 14:10:00;2010-12-31;10;18184.310000000027;869
2010-12-09 14:49:00;2010-12-31;21;11748.029999999995;519
2010-12-09 12:17:00;2010-12-31;21;4049.93;190
2010-12-03 09:51:00;2010-12-31;27;178.28;14
2010-08-16 12:12:00;2010-12-31;136;2138.9100000000003;126
2010-12-17 14:46:00;2010-12-31;13;314.6;12
2010-03-12 14:02:00;2010-12-31;293;110.95;13
2010-11-08 14:57:00;2010-12-31;52;847.1099999999999;40
2010-10-14 19:39:00;2010-12-31;77;973.6800000000003;46
2010-06-29 16:12:00;2010-12-31;184;825.0200000000002;32
2010-10-01 10:43:00;2010-12-31;90;851.9100000000001;49
2010-04-28 15:51:00;2010-12-31;246;339.75000000000006;16
2010-10-18 12:07:00;2010-12-31;73;638.1100000000001;41
2010-06-28 13:44:00;2010-12-31;185;1648.7000000000005;94
2010-03-16 13:22:00;2010-12-31;289;722.9799999999998;53
2010-12-17 15:58:00;2010-12-31;13;5751.810000000001;295
2010-12-06 10:43:00;2010-12-31;24;2592.1600000000008;153
2010-12-17 12:02:00;2010-12-31;13;21010.949999999997;286
2010-04-07 11:59:00;2010-12-31;267;1339.0499999999993;60
2010-12-09 11:39:00;2010-12-31;21;2934.3599999999997;142
2010-11-16 18:10:00;2010-12-31;44;8702.200000000006;408
2010-04-28 14:34:00;2010-12-31;246;277.93;16
2010-12-17 12:56:00;2010-12-31;13;3136.0699999999993;200
2010-12-20 11:38:00;2010-12-31;10;1643.5499999999997;93
2010-11-21 13:26:00;2010-12-31;39;1286.11;76
2010-12-03 15:45:00;2010-12-31;27;2694.56;130
2010-12-17 12:56:00;2010-12-31;13;1575.7800000000002;61
2010-09-23 10:45:00;2010-12-31;98;1698.8300000000006;64
2010-11-21 11:34:00;2010-12-31;39;233.84;15
2010-07-06 12:19:00;2010-12-31;177;829.2500000000001;47
2010-12-10 10:56:00;2010-12-31;20;7951.700000000002;135
2010-11-15 13:56:00;2010-12-31;45;2040.9199999999998;135
2010-12-22 12:47:00;2010-12-31;8;639.6499999999999;19
2010-07-29 12:29:00;2010-12-31;154;3710.5;2
2010-12-02 18:27:00;2010-12-31;28;310.69999999999993;22
2010-11-19 09:42:00;2010-12-31;41;1713.6899999999996;51
2010-06-28 14:36:00;2010-12-31;185;406.07000000000005;16
2010-03-24 12:43:00;2010-12-31;281;1201.52;67
2010-09-06 10:24:00;2010-12-31;115;4037.77;117
2010-08-10 10:14:00;2010-12-31;142;925.4100000000002;23
2010-06-17 10:41:00;2010-12-31;196;254.54999999999998;17
2010-12-13 10:41:00;2010-12-31;17;4754.800000000001;144
2010-12-23 15:32:00;2010-12-31;7;25256.280000000137;3216
2010-11-05 13:56:00;2010-12-31;55;2806.4800000000005;139
2010-09-21 12:49:00;2010-12-31;100;268.27;62
2010-12-12 11:44:00;2010-12-31;18;3590.5900000000006;48
2010-12-09 10:44:00;2010-12-31;21;9013.109999999999;61
2010-09-06 13:02:00;2010-12-31;115;4656.969999999999;137
2010-11-18 19:14:00;2010-12-31;42;2981.039999999998;185
2010-09-10 08:50:00;2010-12-31;111;347.8;21
2010-09-08 12:17:00;2010-12-31;113;782.95;27
2010-12-05 15:46:00;2010-12-31;25;640.1600000000001;32
2010-08-24 13:51:00;2010-12-31;128;1404.58;68
2010-12-08 13:53:00;2010-12-31;22;4227.9400000000005;198
2010-11-29 09:38:00;2010-12-31;31;949.8199999999999;43
2010-09-15 12:08:00;2010-12-31;106;168.69000000000003;10
2010-09-09 11:43:00;2010-12-31;112;1895.0;16
2010-08-11 11:51:00;2010-12-31;141;282.3;15
2010-05-24 17:30:00;2010-12-31;220;124.25;6
2010-06-22 10:38:00;2010-12-31;191;98.7;6
2010-11-16 15:14:00;2010-12-31;44;300.08;15
2010-02-10 12:11:00;2010-12-31;323;55.5;4
2010-09-08 11:35:00;2010-12-31;113;519.4499999999999;26
2010-11-08 10:51:00;2010-12-31;52;953.4499999999999;64
2010-12-03 13:40:00;2010-12-31;27;2617.250000000001;114
2010-04-20 09:40:00;2010-12-31;254;337.39999999999986;20
2010-12-17 11:30:00;2010-12-31;13;2750.8199999999983;146
2010-06-28 13:06:00;2010-12-31;185;1230.3300000000004;72
2010-12-10 13:48:00;2010-12-31;20;733.5000000000001;37
2010-04-09 12:12:00;2010-12-31;265;728.4999999999999;18
2010-10-22 14:57:00;2010-12-31;69;398.52000000000004;24
2010-09-02 14:21:00;2010-12-31;119;444.90000000000003;26
2010-07-15 12:43:00;2010-12-31;168;181.5;4
2010-10-25 13:04:00;2010-12-31;66;266.93;16
2010-12-01 11:27:00;2010-12-31;29;1056.1100000000001;30
2010-06-23 10:49:00;2010-12-31;190;426.46999999999997;22
2010-12-03 15:14:00;2010-12-31;27;603.65;34
2010-03-21 15:49:00;2010-12-31;284;381.0;7
2010-12-09 10:55:00;2010-12-31;21;806.1100000000001;43
2010-10-14 12:27:00;2010-12-31;77;1533.8899999999996;25
2010-06-28 15:57:00;2010-12-31;185;219.35000000000002;15
2010-08-26 14:11:00;2010-12-31;126;584.2499999999999;34
2010-07-27 09:38:00;2010-12-31;156;1071.82;50
2010-09-23 10:23:00;2010-12-31;98;1988.8400000000006;113
2010-11-11 14:57:00;2010-12-31;49;1092.81;55
2010-08-31 11:58:00;2010-12-31;121;327.02;67
2010-11-23 12:27:00;2010-12-31;37;1434.9500000000005;58
2010-09-30 13:34:00;2010-12-31;91;2878.959999999999;67
2010-11-21 14:21:00;2010-12-31;39;330.34999999999997;16
2010-12-06 10:27:00;2010-12-31;24;551.8499999999999;33
2010-05-23 11:08:00;2010-12-31;221;1266.63;56
2010-06-23 10:53:00;2010-12-31;190;534.99;32
2010-11-26 09:49:00;2010-12-31;34;519.0500000000001;25
2010-07-26 09:50:00;2010-12-31;157;1687.8000000000009;45
2010-11-05 08:28:00;2010-12-31;55;524.94;21
2010-09-07 15:20:00;2010-12-31;114;540.5200000000001;19
2010-11-07 14:26:00;2010-12-31;53;1598.8800000000008;97
2010-04-07 15:14:00;2010-12-31;267;128.08;7
2010-11-10 12:22:00;2010-12-31;50;4742.0;13
2010-07-06 13:56:00;2010-12-31;177;518.63;24
2010-12-09 15:21:00;2010-12-31;21;1177.83;76
2010-12-14 14:54:00;2010-12-31;16;178.05;13
2010-09-02 16:00:00;2010-12-31;119;236.06;13
2010-10-08 10:59:00;2010-12-31;83;4997.049999999987;517
2010-11-15 16:22:00;2010-12-31;45;3548.8900000000012;209
2010-05-19 15:10:00;2010-12-31;225;554.3099999999998;80
2010-12-01 11:57:00;2010-12-31;29;3106.1399999999994;359
2010-12-17 17:33:00;2010-12-31;13;4247.9800000000005;249
2010-09-28 17:58:00;2010-12-31;93;1315.1999999999998;63
2010-12-05 12:15:00;2010-12-31;25;4024.319999999997;329
2010-10-31 10:45:00;2010-12-31;60;401.8;11
2010-11-22 13:31:00;2010-12-31;38;4809.31;93
2010-09-23 16:23:00;2010-12-31;98;322.64;51
2010-01-26 16:29:00;2010-12-31;338;15.58;1
2010-11-17 12:44:00;2010-12-31;43;765.3599999999999;35
2010-02-02 12:45:00;2010-12-31;331;208.00000000000003;16
2010-11-23 11:41:00;2010-12-31;37;2039.6700000000008;97
2010-09-20 12:26:00;2010-12-31;101;330.0;2
2010-08-19 15:13:00;2010-12-31;133;148.95000000000005;30
2010-10-08 14:51:00;2010-12-31;83;1950.4000000000005;70
2010-05-27 16:54:00;2010-12-31;217;1144.180000000001;110
2010-12-02 09:37:00;2010-12-31;28;650.9400000000005;70
2010-09-29 16:49:00;2010-12-31;92;2581.6000000000004;75
2010-11-21 12:55:00;2010-12-31;39;177.91999999999996;49
2010-09-07 12:20:00;2010-12-31;114;575.0999999999999;21
2010-01-15 15:22:00;2010-12-31;349;55.47;17
2010-03-30 11:39:00;2010-12-31;275;68.25;4
2010-10-10 11:47:00;2010-12-31;81;1008.3200000000004;133
2010-11-25 17:47:00;2010-12-31;35;2271.35;43
2010-07-19 17:22:00;2010-12-31;164;152.45;4
2010-11-26 15:37:00;2010-12-31;34;1755.240000000001;100
2010-08-22 15:48:00;2010-12-31;130;668.23;37
2010-12-14 16:39:00;2010-12-31;16;3943.619999999999;541
2010-12-01 12:50:00;2010-12-31;29;843.3000000000003;51
2010-01-27 12:10:00;2010-12-31;337;337.66999999999996;37
2010-11-29 13:42:00;2010-12-31;31;1676.9500000000007;93
2010-09-26 10:34:00;2010-12-31;95;363.38;7
2010-12-09 14:44:00;2010-12-31;21;3056.8299999999995;365
2010-11-07 11:15:00;2010-12-31;53;1653.3000000000002;31
2010-11-19 15:23:00;2010-12-31;41;948.4199999999998;48
2010-12-12 12:03:00;2010-12-31;18;1307.52;7
2010-11-10 12:21:00;2010-12-31;50;1863.7700000000002;85
2010-12-16 12:23:00;2010-12-31;14;1569.4600000000003;137
2010-11-23 10:50:00;2010-12-31;37;640.1299999999998;36
2010-11-21 11:18:00;2010-12-31;39;222.4;13
2010-11-23 16:08:00;2010-12-31;37;385.4600000000001;25
2010-11-17 14:06:00;2010-12-31;43;336.79999999999984;57
2010-09-07 15:31:00;2010-12-31;114;509.5;8
2010-11-08 09:51:00;2010-12-31;52;263.37999999999994;18
2010-05-13 14:47:00;2010-12-31;231;157.35;21
2010-11-23 13:29:00;2010-12-31;37;297.75;10
2010-09-02 08:08:00;2010-12-31;119;310.96000000000004;32
2010-10-22 09:53:00;2010-12-31;69;366.4;17
2010-10-13 15:17:00;2010-12-31;78;340.33000000000004;13
2010-10-07 12:39:00;2010-12-31;84;833.5300000000001;41
2010-05-12 10:05:00;2010-12-31;232;1018.4200000000003;54
2010-11-09 12:08:00;2010-12-31;51;508.9099999999999;25
2010-11-24 09:29:00;2010-12-31;36;1026.0;3
2010-10-11 09:44:00;2010-12-31;80;924.5199999999998;67
2010-11-25 12:27:00;2010-12-31;35;2721.48;62
2010-06-06 12:13:00;2010-12-31;207;1680.4700000000003;248
2010-12-06 16:36:00;2010-12-31;24;3892.89;43
2010-11-04 12:28:00;2010-12-31;56;223.98;9
2010-12-02 12:33:00;2010-12-31;28;1010.7500000000006;64
