CLIENTE_ID;EDAD;SEXO;PROVINCIA_ID;RANGO_EDAD;KEY_POBLACION
Cliente 0;29;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 1;34;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 2;57;MUJER;15;55_59;MUJER_15_55_59
Cliente 3;44;MUJER;15;40_44;MUJER_15_40_44
Cliente 4;28;MUJER;15;25_29;MUJER_15_25_29
Cliente 5;29;HOMBRE;32;25_29;HOMBRE_32_25_29
Cliente 6;38;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 7;36;MUJER;32;35_39;MUJER_32_35_39
Cliente 8;52;HOMBRE;32;50_54;HOMBRE_32_50_54
Cliente 9;48;HOMBRE;36;45_49;HOMBRE_36_45_49
Cliente 10;49;MUJER;15;45_49;MUJER_15_45_49
Cliente 11;24;HOMBRE;36;20_24;HOMBRE_36_20_24
Cliente 12;43;HOMBRE;15;40_44;HOMBRE_15_40_44
Cliente 13;51;HOMBRE;36;50_54;HOMBRE_36_50_54
Cliente 14;33;HOMBRE;27;30_34;HOMBRE_27_30_34
Cliente 15;41;MUJER;15;40_44;MUJER_15_40_44
Cliente 16;47;HOMBRE;27;45_49;HOMBRE_27_45_49
Cliente 17;49;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 18;36;HOMBRE;32;35_39;HOMBRE_32_35_39
Cliente 19;36;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 20;54;MUJER;15;50_54;MUJER_15_50_54
Cliente 21;53;MUJER;27;50_54;MUJER_27_50_54
Cliente 22;34;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 23;35;HOMBRE;36;35_39;HOMBRE_36_35_39
Cliente 24;27;HOMBRE;36;25_29;HOMBRE_36_25_29
Cliente 25;42;MUJER;36;40_44;MUJER_36_40_44
Cliente 26;32;HOMBRE;32;30_34;HOMBRE_32_30_34
Cliente 27;36;MUJER;32;35_39;MUJER_32_35_39
Cliente 28;35;HOMBRE;15;35_39;HOMBRE_15_35_39
Cliente 29;32;HOMBRE;15;30_34;HOMBRE_15_30_34
Cliente 30;40;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 31;26;HOMBRE;15;25_29;HOMBRE_15_25_29
Cliente 32;43;MUJER;15;40_44;MUJER_15_40_44
Cliente 33;33;MUJER;27;30_34;MUJER_27_30_34
Cliente 34;45;HOMBRE;15;45_49;HOMBRE_15_45_49
Cliente 35;44;HOMBRE;36;40_44;HOMBRE_36_40_44
Cliente 36;25;HOMBRE;15;25_29;HOMBRE_15_25_29
