TIENDA_ID;DIA_ID;VISITAS;VENTAS;KEY_CONVERSION
Tienda 1;2019-01-01;366;169;Tienda 1_20190101
Tienda 1;2019-01-02;66;40;Tienda 1_20190102
Tienda 1;2019-01-03;285;53;Tienda 1_20190103
Tienda 1;2019-01-04;129;55;Tienda 1_20190104
Tienda 1;2019-01-05;254;89;Tienda 1_20190105
Tienda 1;2019-01-06;326;61;Tienda 1_20190106
Tienda 1;2019-01-07;337;180;Tienda 1_20190107
Tienda 1;2019-01-08;965;173;Tienda 1_20190108
Tienda 1;2019-01-09;386;144;Tienda 1_20190109
Tienda 1;2019-01-10;572;132;Tienda 1_20190110
Tienda 1;2019-01-11;680;172;Tienda 1_20190111
Tienda 1;2019-01-12;507;121;Tienda 1_20190112
Tienda 1;2019-01-13;556;224;Tienda 1_20190113
Tienda 1;2019-01-14;164;59;Tienda 1_20190114
Tienda 1;2019-01-15;282;178;Tienda 1_20190115
Tienda 1;2019-01-16;425;107;Tienda 1_20190116
Tienda 1;2019-01-17;455;182;Tienda 1_20190117
Tienda 1;2019-01-18;804;229;Tienda 1_20190118
Tienda 1;2019-01-19;654;122;Tienda 1_20190119
Tienda 1;2019-01-20;216;118;Tienda 1_20190120
Tienda 1;2019-01-21;948;182;Tienda 1_20190121
Tienda 1;2019-01-22;103;54;Tienda 1_20190122
Tienda 1;2019-01-23;885;197;Tienda 1_20190123
Tienda 1;2019-01-24;1198;220;Tienda 1_20190124
Tienda 1;2019-01-25;81;62;Tienda 1_20190125
Tienda 1;2019-01-26;428;79;Tienda 1_20190126
Tienda 1;2019-01-27;200;130;Tienda 1_20190127
Tienda 1;2019-01-28;378;283;Tienda 1_20190128
Tienda 1;2019-01-29;327;151;Tienda 1_20190129
Tienda 1;2019-01-30;310;121;Tienda 1_20190130
Tienda 1;2019-01-31;290;94;Tienda 1_20190131
Tienda 1;2019-02-01;206;67;Tienda 1_20190201
Tienda 1;2019-02-02;322;144;Tienda 1_20190202
Tienda 1;2019-02-03;77;53;Tienda 1_20190203
Tienda 1;2019-02-04;293;93;Tienda 1_20190204
Tienda 1;2019-02-05;120;41;Tienda 1_20190205
