Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-14,25.95,26.13,25.89,26.07,101895600,0.0,0.0
2016-04-15,26.07,26.11,25.52,25.54,187756000,0.0,0.0
2016-04-18,25.32,25.33,24.87,24.99,243286000,0.0,0.0
2016-04-19,25.09,25.11,24.7,24.86,129539600,0.0,0.0
2016-04-20,24.8,25.13,24.66,24.91,122444000,0.0,0.0
2016-04-21,24.86,24.86,24.54,24.64,126210000,0.0,0.0
2016-04-22,24.42,24.76,24.33,24.57,134732400,0.0,0.0
2016-04-25,24.42,24.57,24.3,24.43,112126400,0.0,0.0
2016-04-26,24.16,24.49,24.16,24.26,224064800,0.0,0.0
2016-04-27,22.32,22.95,22.25,22.75,458408400,0.0,0.0
2016-04-28,22.7,22.76,21.92,22.05,328970800,0.0,0.0
2016-04-29,21.86,22.02,21.51,21.8,274126000,0.0,0.0
2016-05-02,21.85,21.88,21.49,21.77,192640400,0.0,0.0
2016-05-03,21.9,22.26,21.78,22.13,227325200,0.0,0.0
2016-05-04,22.14,22.3,21.82,21.9,164102000,0.0,0.0
2016-05-05,21.99,22.01,21.68,21.81,143562000,0.1425,0.0
2016-05-06,21.84,21.86,21.49,21.69,174799600,0.0,0.0
2016-05-09,21.76,21.94,21.66,21.71,131745600,0.0,0.0
2016-05-10,21.83,21.89,21.55,21.85,134747200,0.0,0.0
2016-05-11,21.87,21.89,21.63,21.64,114876400,0.0,0.0
2016-05-12,21.69,21.71,20.93,21.13,305258800,0.0,0.0
2016-05-13,21.05,21.45,21.05,21.18,177571200,0.0,0.0
2016-05-16,21.61,22.08,21.44,21.96,245039200,0.0,0.0
2016-05-17,22.12,22.15,21.76,21.87,187667600,0.0,0.0
2016-05-18,22.03,22.27,21.96,22.12,168249600,0.0,0.0
2016-05-19,22.14,22.14,21.89,22.04,121768400,0.0,0.0
2016-05-20,22.14,22.33,22.11,22.28,128104000,0.0,0.0
2016-05-23,22.43,22.74,22.38,22.56,152074400,0.0,0.0
2016-05-24,22.74,22.95,22.66,22.9,140560800,0.0,0.0
2016-05-25,23.08,23.33,22.95,23.31,152675200,0.0,0.0
2016-05-26,23.32,23.57,23.08,23.49,225324800,0.0,0.0
2016-05-27,23.26,23.5,23.22,23.48,145364800,0.0,0.0
2016-05-31,23.3,23.49,23.12,23.36,169228800,0.0,0.0
2016-06-01,23.17,23.29,23.0,23.03,116693200,0.0,0.0
2016-06-02,22.83,22.89,22.61,22.86,160766400,0.0,0.0
2016-06-03,22.88,22.99,22.8,22.91,114019600,0.0,0.0
2016-06-06,22.92,23.84,22.82,23.07,93170000,0.0,0.0
2016-06-07,23.22,23.36,23.15,23.17,89638000,0.0,0.0
2016-06-08,23.17,23.29,23.09,23.15,83392400,0.0,0.0
2016-06-09,23.04,23.39,23.03,23.31,106405600,0.0,0.0
2016-06-10,23.05,23.24,23.04,23.12,126851600,0.0,0.0
2016-06-13,23.09,23.19,22.72,22.77,152082000,0.0,0.0
2016-06-14,22.77,23.04,22.63,22.8,127727600,0.0,0.0
2016-06-15,22.88,23.02,22.7,22.73,117780800,0.0,0.0
2016-06-16,22.56,22.87,22.47,22.82,125307200,0.0,0.0
2016-06-17,22.6,22.61,22.29,22.3,244032800,0.0,0.0
2016-06-20,22.46,22.59,22.23,22.25,137647600,0.0,0.0
2016-06-21,22.21,22.54,22.15,22.44,142185600,0.0,0.0
