Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-14,3.044,3.05,2.919,2.935,32077677,0,0
2020-04-15,2.906,2.906,2.713,2.731,252448857,0,0
2020-04-16,2.785,2.82,2.607,2.624,246182533,0,0
2020-04-17,2.789,2.789,2.634,2.664,48024970,0,0
2020-04-20,2.675,2.689,2.553,2.658,22937450,0,0
2020-04-21,2.586,2.597,2.479,2.479,31763399,0,0
2020-04-22,2.508,2.585,2.483,2.585,29273112,0,0
2020-04-23,2.626,2.756,2.611,2.704,38270928,0,0
2020-04-24,2.618,2.655,2.582,2.593,35728310,0,0
2020-04-27,2.69,2.706,2.621,2.686,20908593,0,0
2020-04-28,2.679,2.927,2.661,2.927,33083545,0,0
2020-04-29,2.924,3.162,2.903,3.162,37325855,0,0
2020-04-30,3.05,3.114,2.929,2.987,52526746,0,0
2020-05-04,2.881,2.881,2.795,2.8,47351517,0,0
2020-05-05,2.858,2.908,2.754,2.8,24413213,0,0
2020-05-06,2.801,2.82,2.698,2.719,27115732,0,0
2020-05-07,2.738,2.744,2.672,2.693,18699794,0,0
2020-05-08,2.72,2.735,2.646,2.727,13909990,0,0
2020-05-11,2.75,2.78,2.621,2.647,18143211,0,0
2020-05-12,2.628,2.729,2.618,2.662,16542907,0,0
2020-05-13,2.62,2.641,2.541,2.541,35929526,0,0
2020-05-14,2.527,2.623,2.475,2.609,28311572,0,0
2020-05-15,2.615,2.678,2.558,2.578,19872381,0,0
2020-05-18,2.619,2.744,2.601,2.722,23861942,0,0
2020-05-19,2.8,2.82,2.532,2.599,42365870,0,0
2020-05-20,2.547,2.599,2.457,2.583,35655355,0,0
2020-05-21,2.544,2.618,2.505,2.566,21854172,0,0
2020-05-22,2.522,2.657,2.495,2.589,32614624,0,0
2020-05-25,2.64,2.653,2.59,2.65,13928455,0,0
2020-05-26,2.69,2.826,2.685,2.825,37507524,0,0
2020-05-27,2.85,2.978,2.842,2.921,52071160,0,0
2020-05-28,2.986,2.999,2.861,2.931,30618946,0,0
2020-05-29,2.88,2.897,2.782,2.793,40197537,0,0
2020-06-01,2.871,2.889,2.796,2.861,18136613,0,0
2020-06-02,2.872,3.044,2.841,3.005,31192816,0,0
2020-06-03,3.05,3.171,3.038,3.16,32899173,0,0
2020-06-04,3.117,3.27,3.093,3.212,48966605,0,0
2020-06-05,3.3,3.539,3.277,3.527,51923774,0,0
2020-06-08,3.485,3.646,3.465,3.55,45134191,0,0
2020-06-09,3.501,3.529,3.327,3.408,38346687,0,0
2020-06-10,3.45,3.496,3.309,3.313,46917994,0,0
2020-06-11,3.17,3.238,3.087,3.095,35112705,0,0
2020-06-12,3.036,3.21,3.024,3.129,37840196,0,0
2020-06-15,2.978,3.103,2.973,3.055,30677232,0,0
2020-06-16,3.19,3.228,3.084,3.153,29121399,0,0
2020-06-17,3.15,3.244,3.122,3.159,25482678,0,0
2020-06-18,3.135,3.217,3.055,3.101,42076869,0,0
2020-06-19,3.147,3.189,3.093,3.106,89746274,0,0
2020-06-22,3.076,3.112,3.026,3.063,16093990,0,0
2020-06-23,3.095,3.229,3.081,3.185,32441247,0,0
2020-06-24,3.15,3.195,3.026,3.032,18545400,0,0
2020-06-25,3.0,3.084,2.96,3.071,59819081,0,0
2020-06-26,3.11,3.13,2.998,2.998,24638639,0,0
2020-06-29,3.0,3.113,2.964,3.082,18478173,0,0
2020-06-30,3.07,3.094,2.995,3.064,21807227,0,0
2020-07-01,3.065,3.096,2.975,3.008,20192031,0,0
2020-07-02,3.054,3.258,3.045,3.227,31444865,0,0
2020-07-03,3.227,3.242,3.123,3.147,15327981,0,0
2020-07-06,3.259,3.369,3.256,3.307,22841646,0,0
